id		Majority protein IDs
216		Q8RX87;F4K470;Q42099;Q9FVM2
716		Q9M2F9
403		Q38953;Q0WLB6;Q0WUZ2
466		Q9ZVJ8;Q8L5Y4
410		Q39165
672		Q9LNV5
511		Q8W034
637		Q9FVW4;Q9FVW4-2
277		O64642
185		Q9SFU1;F4JD96
264		O23523;A8MQJ5;A8MQG3;Q8LFI3
372		Q93VT9;Q2HIH6;Q08770;Q93VL0;F4HUJ2;C0Z3F6;Q93W22
550		Q94BV4
211		F4K180;Q8L7S8-2;Q8L7S8
241		Q9SDM9;O04316
381		Q0WPK4;O64542
771		Q9SV09
458		Q8GXX7
557		Q94JX5
14		A8MQ78;Q6NQ72
657		Q9LIN5;Q9SQK7;Q9M7F0
47		F4HUL6;B9DHU0;B9DG18;Q42547;C0Z2I6;Q2V4M4
131		Q8RXP2;F4HZK3;Q8H1F3;Q9XI41
766		Q9SSD2;F4JUG5;Q9T0I6
301		P14712;P14712-2
134		Q94A30;F4I0C1;Q9ZVU7;F4I0C2
455		Q8LF59;Q8GXC5;Q9LQZ9
504		Q8VYF7;Q0WLI7
785		Q9ZUJ3
11		A6QRD1;F4JNU1;F4JNU3;F4JNT9;Q494N5;F4JNU2
278		Q0WS09;O64650;Q9M2F1;B3H5X2
201		F4JTD3;Q9SW09
748		Q9SJI8;Q9LXT3
554		Q94C98;O23352
269		O48963;Q56Y57;B9DF94
796		Q9ZW06
48		Q8LFH7;Q8LEM8;Q43292;Q0WW79;B9DG94;C0Z2H8
237		Q8H158;P55737;P51818;O03986;Q8GRU8;P27323;F4K6B6;Q570T4;Q56WE0
70		Q9LVX1;C0SVD1
551		Q94C21;Q9LPY6;A8MR62
173		F4J4G3;Q9SCY9;F4J4G2;Q0WP86
332		P42794-2;Q0WQZ1;P42795;P42794
632		Q9FPW4
334		P43287
148		Q9C8K3;Q8LG23;F4I9J7
