id		Majority protein IDs
459		Q8GYR4
460		Q8GYS0
461		Q8H136-2;Q8H136;Q9LYJ9-2;Q9LYJ9;F4K6V1
462		Q9ZVA4;Q8H153
463		Q9SLJ2;Q8LG75;Q8H7A6
465		Q8L440;Q9LIH1
467		Q8L716
469		Q8L793
470		Q8L7W3;Q9ZW08;Q9FYB2
471		Q8L835;Q9LMS7;Q9LM39
472		Q8L953
474		Q8LA11;Q9LME7
477		Q8LB80;Q9ZVX7
479		Q8LC83
480		Q8LCL3
483		Q9SA73;Q8LDR5
484		Q9ASX3;Q9FNK3;Q8LDV1
485		Q8VY61;Q8LE97
486		Q9ASW8;Q8LES4;Q9SLI7
488		Q94F20;Q940Q9;Q8LEX7;C0Z328;Q56XA8;Q9LYE7;Q8LCM9;Q8H168
489		Q9LT41;Q8RWV5;Q8LF62
490		Q8LFL8
492		Q8LG73;Q9CAT3;B3H5L3
494		Q9FGC0;Q8RWH3
497		Q8RWY7-3;Q8RWY7
502		Q8VYA5;Q8VYA5-3
503		Q8VYC4;Q9LK54
505		Q8VYJ7
506		Q8VYM4;Q9SUZ0;B9DG26
508		Q8VYU4
509		Q9FJ18_ARATH Gb;Q8VZK6
510		Q8VZT8
512		Q8W112
513		Q8W4E1
514		Q8W4H8
516		Q9FZ46;Q8W4K2
517		Q9T0K6;Q8W4K6
520		Q93V93
527		Q9LN41;Q93WK6
528		Q93XW5
529		Q93XW7
530		Q93XY1;Q9FJC2
531		Q9C6M8;Q93Y16;Q9C7G2
532		Q93YN3;Q9FF64_ARATH Gb
533		Q9FFW1;Q93YW4
534		Q9FXI8;Q93Z02
535		Q93Z18
536		Q93ZC2;Q9FG63_ARATH Gb
537		Q93ZG7;A0A097PLX2
538		Q9LYY1;Q93ZH7
543		Q941Q3;Q9LTW7
549		Q94B08;Q0WPN3
555		Q94CJ8
558		Q94K75-2;Q94K75;F4IPY0
560		Q94KD0
561		Q95747;G1C2Q4
562		Q96262;Q96262-2;F4JUT9
563		Q9LW12;Q96271
566		Q96522
571		Q9LV28;Q9C4Z6
573		Q9C553
575		Q9C5X3
578		Q9C6K5
579		Q9C7C3
580		Q9C7G4
581		Q9C8M0-2;Q9C8M0
584		Q9C9Y9
585		Q9CAI5
587		Q9FY71;Q9FE06
588		Q9FE18
589		Q9FF90
590		Q9FFK8;Q9FFK8-2;Q9FFK8-3
592		Q9FG01;C0Z3I0
593		Q9FG30
596		Q9FGV4
599		Q9FH77
600		Q9FI80
601		Q9FIC2_ARATH Emb
602		Q9FIQ0
603		Q9FIU6
604		Q9FJA6;B9DHB0
605		Q9FJD4
606		Q9FJN9
609		Q9FKI4
610		Q9FKT4
611		Q9FKV6
613		Q9FLA4
614		Q9FLF0
615		Q9FLH6
619		Q9FMF9
622		Q9FMQ0
623		Q9LKQ2;Q9FNH6;B0ZVS7;B0ZVS1;B0ZVQ2;B0ZVQ4;B0ZVZ0;B0ZVQ1;B0ZVP9;B0ZVP8;Q94K35
625		Q9FNR1
627		Q9FNV8;Q9ZTC3
629		Q9FNZ2
636		Q9FVW3-2;Q9FVW3
638		Q9FWS3-2;Q9FWS3
640		Q9FXB5
641		Q9FXH1
643		Q9FYB7;Q9FYB7-2
644		Q9FZ76;Q8L9N4
645		Q9FZ84
648		Q9LF88
651		Q9LG23
652		Q9LHF1;Q9T0K5
656		Q9LII1
659		Q9LJW6
663		Q9LK57
664		Q9LK58
666		Q9LKA5
667		Q9LKU3
668		Q9LMU2
670		Q9LN35
676		Q9LQM3
677		Q9LRN8
678		Q9LRP6
680		Q9LS25
681		Q9LS97
684		Q9LTX7_ARATH Gb;Q84VY6;Q0WSJ1
686		Q9LU44;Q94KA0
687		Q9LUD4
690		Q9LUV4
691		Q9LUW5
694		Q9LW17;Q9SSS7
696		Q9LX90-3;Q9LX90
699		Q9LY75-2;Q9LY75;Q9LY75-3
700		Q9LYK9
